TOA5,CR300Series,CR350,5109,CR350-CELL220.Std.01.04,CPU:BG Sensor.CRB,50250,Table1
TIMESTAMP,RECORD,BattV,PTemp_C,T108_C,,,
TS,RN,Volts,Deg C,Deg C,,,
,,Smp,Smp,Smp,,,
2023-09-20 02:10:00,0,11.87,27.72,25.56,,,
2023-09-20 02:11:00,1,11.88,27.86,25.55,,,
2023-09-20 02:12:00,2,11.89,27.95,25.54,,,
2023-09-20 02:13:00,3,11.89,28.01,25.54,,,
2023-09-20 02:14:00,4,11.88,28.08,25.54,,,
2023-09-20 02:15:00,5,11.92,28.14,25.53,,,
2023-09-20 02:16:00,6,11.88,28.18,25.53,,,
2023-09-20 02:17:00,7,11.89,28.23,25.52,,,
2023-09-20 02:18:00,8,11.89,28.27,25.52,,,
2023-09-20 02:19:00,9,11.92,28.31,25.52,,,
2023-09-20 02:20:00,10,11.89,28.35,25.51,,,
2023-09-20 02:21:00,11,11.89,28.4,25.51,,,
2023-09-20 02:22:00,12,11.89,28.43,25.51,,,
2023-09-20 02:23:00,13,11.88,28.46,25.53,,,
2023-09-20 02:24:00,14,11.92,28.5,25.55,,,
2023-09-20 02:25:00,15,11.87,28.54,25.58,,,
2023-09-20 02:26:00,16,11.89,28.58,25.61,,,
2023-09-20 02:27:00,17,11.87,28.61,25.63,,,
2023-09-20 02:28:00,18,11.91,28.65,25.65,,,
2023-09-20 02:29:00,19,11.88,28.68,25.67,,,
2023-09-20 02:30:00,20,11.89,28.71,25.68,,,
2023-09-20 02:31:00,21,11.88,28.73,25.69,,,
2023-09-20 02:32:00,22,11.89,28.76,25.71,,,
2023-09-20 02:33:00,23,11.89,28.8,25.71,,,
2023-09-20 02:34:00,24,11.87,28.81,25.72,,,
2023-09-20 02:35:00,25,11.88,28.84,25.72,,,
