TOA5,CR300Series_2,CR350,5107,CR350-CELL220.Std.01.04,CPU:BG Sensor.CRB,50250,Table1
TIMESTAMP,RECORD,BattV,PTemp_C,T108_C,,,
TS,RN,Volts,Deg C,Deg C,,,
,,Smp,Smp,Smp,,,
2023-09-19 03:28:00,0,11.86,26.09,23.95,,,
2023-09-19 21:06:00,1,11.84,28.17,NAN,,,
2023-09-19 21:07:00,2,11.98,28.34,NAN,,,
2023-09-19 21:08:00,3,11.99,28.46,NAN,,,
2023-09-19 21:09:00,4,11.97,28.61,25.96,,,
2023-09-19 21:10:00,5,11.98,28.83,25.97,,,
2023-09-19 21:11:00,6,11.96,29,25.99,,,
2023-09-19 21:12:00,7,11.95,29.16,26,,,
2023-09-19 21:13:00,8,11.85,29.27,26.02,,,
2023-09-19 21:14:00,9,11.85,29.38,26.03,,,
2023-09-19 21:15:00,10,11.88,29.48,26.02,,,
2023-09-19 21:16:00,11,11.86,29.57,26.02,,,
2023-09-19 21:17:00,12,11.89,29.66,26.02,,,
2023-09-19 21:18:00,13,11.86,29.75,26.02,,,
2023-09-19 21:19:00,14,11.91,29.83,26.01,,,
2023-09-19 21:20:00,15,11.88,29.92,25.99,,,
2023-09-19 21:21:00,16,11.86,29.99,25.98,,,
2023-09-19 21:22:00,17,11.91,30.06,25.97,,,
2023-09-19 21:23:00,18,11.88,30.12,25.97,,,
2023-09-19 21:24:00,19,11.87,30.19,25.96,,,
2023-09-19 21:25:00,20,11.86,30.25,25.96,,,
2023-09-19 21:26:00,21,11.87,30.31,25.95,,,
2023-09-19 21:27:00,22,11.87,30.4,25.94,,,
2023-09-19 21:28:00,23,11.87,30.48,25.93,,,
2023-09-19 21:29:00,24,11.87,30.56,25.93,,,
2023-09-19 21:30:00,25,11.85,30.65,25.92,,,
